"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"e:\Filipe\Dropbox\Filipe Galego\1\Projects\BOOST\DEV\arv-dash\arvoredo-dashboard-main\app\(auth)\(routes)\sign-up\[[...sign-up]]\page.tsx", "TypeScript JSX", 4, 0, 2, 6
"Total", "-", 4, 0, 2, 6
